Entrance/Landing Page,Campaign,Total Users,Sessions,Sessions w/ Interaction,Interaction Rate,CTA Click Rate
www.rit.edu/news/alumni-update-role-game-developer-took-root-rit,uadv-roar-day,1,1,0,0,0
www.rit.edu/news/archery-club-aims-more-members-and-competitions,uadv-roar-day,1,1,0,0,0
www.rit.edu/news/constellation-brands-creates-scholarship-increase-diverse-representation-computing,uadv-roar-day,1,1,0,0,0
www.rit.edu/news/headlines,uadv-roar-day,1,1,1,1,0
www.rit.edu/news/rit-students-raise-awareness-about-mural-art-through-tunnelvision,uadv-roar-day,1,1,1,1,0
www.rit.edu/ntid/cmms/creative-services-request,uadv-roar-day,1,1,0,0,0
www.rit.edu/ntid/das,uadv-roar-day,1,1,0,0,0
www.rit.edu/ombuds,uadv-roar-day,1,1,0,0,0
www.rit.edu/orientation/new-student-checklist,uadv-roar-day,1,1,1,1,0
www.rit.edu/pages/roar-day-social-media-toolkit,uadv-roar-day,1,1,1,1,0
www.rit.edu/parking/4-175-jefferson-park-point,uadv-roar-day,1,1,0,0,0
www.rit.edu/performingarts/rit-jazz-ensemble,uadv-roar-day,1,1,1,1,0
www.rit.edu/physicseducationresearch,uadv-roar-day,1,1,0,0,0
www.rit.edu/physicseducationresearch/taxonomy/term/19968/delete,uadv-roar-day,1,1,0,0,0
www.rit.edu/policies/d020,uadv-roar-day,1,1,1,1,0
www.rit.edu/policies/d150,uadv-roar-day,1,1,0,0,0
www.rit.edu/policies/d180,uadv-roar-day,1,1,0,0,0
www.rit.edu/procurement/paymentworks-resources-rit-departmental-users,uadv-roar-day,1,1,1,1,0
www.rit.edu/procurement/vendor-portals,uadv-roar-day,1,1,0,0,0
www.rit.edu/publicsafety/accesscontrol,uadv-roar-day,1,1,1,1,0
www.rit.edu/registrar/transfer-and-test-credit,uadv-roar-day,1,1,0,0,0
www.rit.edu/reporting-incident,uadv-roar-day,1,1,1,1,0
www.rit.edu/science/afterit,uadv-roar-day,1,1,1,1,0
www.rit.edu/science/datafest,uadv-roar-day,1,1,0,0,0
www.rit.edu/security/cloud-computing-best-practices,uadv-roar-day,1,1,1,1,0
www.rit.edu/security/rit-information-handling-and-services-matrix,uadv-roar-day,1,1,0,0,0
www.rit.edu/site/Donation2,uadv-roar-day,1,1,1,1,0
www.rit.edu/site/SPageNavigator/RIT_donate.html,uadv-roar-day,1,1,0,0,0
www.rit.edu/srs/templates-forms-agreements,uadv-roar-day,1,1,1,1,0
www.rit.edu/studenthealth/appointments-and-hours,uadv-roar-day,1,1,0,0,0
www.rit.edu/studentlife/health-promotion,uadv-roar-day,1,1,1,1,0
www.rit.edu/study/digital-literatures-and-comparative-media-minor,uadv-roar-day,1,1,0,0,0
www.rit.edu/study/immersions-and-minors,uadv-roar-day,1,1,1,1,0
www.rit.edu/study/industrial-engineering-bs,uadv-roar-day,1,1,0,0,0
www.rit.edu/study/physics-bs,uadv-roar-day,1,1,1,1,0
www.rit.edu/talentdevelopment/talent-roadmap,uadv-roar-day,1,1,1,1,0
www.rit.edu/tigerCenterApp,uadv-roar-day,1,1,1,1,0
www.rit.edu/tigerCenterApp/login_shib/tc/login,uadv-roar-day,1,1,1,1,0
www.rit.edu/trustees/active,uadv-roar-day,1,1,1,1,0
www.rit.edu/brickcity/events/zero-year-reunion,uadv-roar-day,1,1,0,0,0
